Trial02
Date:,2014/06/11
Time:,10:41:34
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50,,,*51,,,*52,,,*53,,,*54,,,*55,,,*56,,,*57,,,*58,,,*59,,,*60,,,*61,,,*62,,,*63,,,*64,,,*65,,,*66,,,*67,,,*68,,,*69
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,392.779175,-5.977022,16.489679,-10.922663,-1.317050,16.051159,396.228058,572.516052,24.572744,-5.278617,576.052795,20.195549,167.192810,128.543365,29.994896,9.942011,124.103622,25.443096,163.284927,221.620178,30.970818,3.690029,211.875458,26.942621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,392.785828,-5.965821,16.487606,-10.925424,-1.308870,16.050900,396.227692,572.507935,24.578642,-5.305882,576.110596,20.262388,167.196808,128.551300,30.002413,9.945433,124.100250,25.453609,163.282776,221.625656,30.981075,3.688076,211.872803,26.937412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,392.790741,-5.981631,16.495058,-10.935240,-1.314576,16.054289,396.228973,572.510132,24.580067,-5.316030,576.120789,20.282209,167.199753,128.559586,30.000313,9.951701,124.104309,25.457983,163.281052,221.618057,30.970898,3.685515,211.877045,26.939064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,392.781525,-5.965788,16.491701,-10.932704,-1.309425,16.050745,396.223846,572.525696,24.580919,-5.285318,576.107727,20.239143,167.192627,128.545868,29.993156,9.936709,124.100342,25.456921,163.276840,221.629684,30.976295,3.687959,211.870087,26.931194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,392.784241,-5.958285,16.484184,-10.935212,-1.310034,16.050413,396.222198,572.531738,24.580418,-5.284925,576.071777,20.200802,167.197479,128.553711,29.995922,9.938747,124.111443,25.450632,163.279251,221.638550,30.979837,3.684399,211.873581,26.941879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,392.784821,-5.979320,16.499033,-10.939401,-1.308772,16.051929,396.220917,572.535339,24.571415,-5.301878,576.052734,20.183926,167.194412,128.549667,30.000317,9.940047,124.119186,25.446770,163.281418,221.613495,30.964497,3.682571,211.871170,26.940939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,392.780823,-5.987674,16.501112,-10.935532,-1.303484,16.042835,396.218933,572.528076,24.570189,-5.321641,576.103821,20.267965,167.193466,128.545502,30.002655,9.943530,124.114311,25.442564,163.279709,221.617676,30.969999,3.686536,211.872269,26.942642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,392.776306,-5.974783,16.491257,-10.944967,-1.309666,16.039499,396.213501,572.528198,24.583565,-5.297625,576.052673,20.187742,167.195633,128.551849,29.995100,9.944188,124.108932,25.459364,163.276917,221.623077,30.975037,3.683285,211.877884,26.936626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,392.779114,-5.965869,16.484879,-10.932075,-1.312779,16.042746,396.217651,572.515625,24.582283,-5.312275,576.101563,20.264387,167.188904,128.543106,29.989029,9.933868,124.107910,25.452349,163.276688,221.599991,30.963390,3.680719,211.881775,26.933891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,392.782135,-5.964113,16.482830,-10.934628,-1.313314,16.037853,396.210266,572.521606,24.580404,-5.324243,576.102661,20.261251,167.190048,128.542526,29.986769,9.941875,124.110558,25.442921,163.275955,221.618210,30.975077,3.677927,211.880569,26.939072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,392.781097,-5.979083,16.496183,-10.931284,-1.310878,16.049620,396.214081,572.518860,24.580748,-5.320508,576.112000,20.261787,167.189026,128.550232,29.993422,9.943680,124.113205,25.448792,163.276764,221.617584,30.969378,3.683096,211.878342,26.935799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,392.777802,-5.983968,16.501127,-10.893881,-1.396536,15.976264,396.208649,572.532349,24.581625,-5.300508,576.099548,20.239471,167.191635,128.555908,29.998234,9.932807,124.116493,25.455433,163.277847,221.620193,30.973318,3.674482,211.881271,26.945213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,392.783508,-5.976155,16.493809,-10.890291,-1.399746,15.966739,396.209839,572.525330,24.581787,-5.305873,576.086060,20.255796,167.188217,128.544754,29.994770,9.935132,124.116486,25.449039,163.277405,221.626801,30.972092,3.676394,211.875595,26.941498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,392.782867,-5.973112,16.501345,-10.933384,-1.314019,16.050978,396.215912,572.524902,24.587183,-5.309671,576.118469,20.278435,167.187714,128.548218,29.997437,9.939418,124.114098,25.447140,163.277283,221.624390,30.978720,3.683258,211.870239,26.932533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
