Trial03b
Date:,2014/06/11
Time:,10:45:21
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,394.025513,-12.027154,16.500090,-10.055517,-13.663379,16.239927,389.138123,566.719421,24.198746,-12.945117,564.104492,20.634331,184.960007,340.989807,33.591858,171.537445,497.694702,33.030331,278.939941,350.413086,34.382500,258.462097,509.570892,34.060085
2,394.020752,-12.026323,16.511225,-10.065303,-13.669086,16.239519,389.135834,566.722534,24.196920,-12.947996,564.089233,20.634830,184.967224,340.977936,33.596413,171.538391,497.697662,33.027695,278.760529,350.258911,34.192421,258.631622,509.493530,34.056839
3,394.036530,-12.028524,16.491026,-10.057181,-13.678078,16.240059,389.146545,566.718811,24.198528,-12.931017,564.080078,20.625593,184.983292,340.953064,33.595810,171.530762,497.704041,33.027004,278.747437,350.256653,34.198513,258.674683,509.533844,33.983593
4,393.988678,-12.001276,16.534222,-10.049571,-13.675675,16.230452,389.145050,566.710693,24.198746,-12.943401,564.067810,20.619797,184.984344,340.964478,33.600842,171.534546,497.709351,33.027210,278.767029,350.258972,34.203461,258.678772,509.533997,33.969212
5,393.975433,-11.944443,16.545053,-10.042503,-13.674014,16.239189,389.154419,566.715271,24.197840,-12.894818,564.084961,20.602640,184.926117,340.978302,33.543507,171.525116,497.720917,33.016003,278.772095,350.253296,34.185543,258.666931,509.544983,33.964710
6,393.989349,-11.996862,16.544748,-10.037439,-13.679379,16.240137,389.158325,566.720093,24.201176,-12.885089,564.059143,20.574026,184.911713,340.779236,33.367569,171.512375,497.742340,33.012260,278.769867,350.252655,34.192440,258.652954,509.649261,33.837227
7,393.947418,-11.950474,16.580908,-10.039105,-13.670642,16.233637,389.156219,566.707642,24.199274,-12.878319,564.171997,20.497086,184.936310,340.913544,33.505859,171.485275,497.773682,32.988865,278.767822,350.253296,34.176327,258.665894,509.664246,33.806507
8,393.978058,-11.949516,16.542040,-10.039767,-13.665876,16.241545,389.147675,566.722290,24.201071,-12.871905,564.175293,20.445980,184.917816,340.910583,33.484390,171.425171,497.833344,32.942242,278.762451,350.257263,34.192139,258.641541,509.708160,33.766956
9,393.930023,-11.949360,16.582321,-10.046117,-13.673548,16.235277,389.144470,566.715210,24.203539,-12.897225,564.033875,20.481674,184.965973,340.869110,33.498516,171.392517,497.858398,32.904686,278.771027,350.264526,34.212357,258.626617,509.718994,33.751606
10,394.026855,-12.019419,16.505222,-10.041370,-13.660806,16.241129,389.145599,566.712036,24.210459,-12.904831,564.019958,20.447311,185.031158,340.923553,33.616127,171.374985,497.878815,32.881927,278.772552,350.261658,34.214577,258.627411,509.719086,33.758118
11,394.005768,-12.033032,16.542679,-10.040339,-13.676966,16.242210,389.140137,566.714539,24.217594,-12.967002,564.052612,20.461527,185.245575,341.115082,33.995605,171.349640,497.916840,32.832664,278.759277,350.267456,34.212620,258.614532,509.723541,33.756428
12,393.988068,-12.017858,16.557920,-10.031139,-13.682636,16.236284,389.140991,566.716858,24.215008,-12.965701,563.922363,20.519524,185.247177,341.110443,33.996002,171.265594,497.955200,32.738190,278.762695,350.263062,34.215275,258.623047,509.708496,33.757339
13,393.969452,-11.993699,16.556244,-10.052034,-13.687144,16.233255,389.148193,566.722412,24.216206,-12.963499,564.289734,20.329987,185.246078,341.111816,33.995987,171.261337,497.962189,32.737419,278.763367,350.255219,34.209824,258.614075,509.709442,33.761299
14,393.986328,-12.008779,16.563046,-10.040536,-13.683726,16.227205,389.153992,566.722778,24.208462,-12.934919,564.359558,20.348921,185.250732,341.110931,34.003014,171.186813,498.013580,32.670177,278.781250,350.261292,34.221138,258.634338,509.707123,33.771233
15,393.948547,-11.953552,16.573025,-10.045556,-13.684437,16.234407,389.149353,566.715088,24.200739,-12.927932,564.350830,20.394833,185.256073,341.115967,33.999928,171.101852,498.083984,32.603268,278.760620,350.258392,34.189533,258.627380,509.705933,33.768009
16,394.010254,-12.009594,16.544430,-10.044440,-13.687590,16.234373,389.152161,566.711487,24.197529,-12.908735,564.365051,20.450710,185.257172,341.119080,34.001488,171.096283,498.093231,32.610249,278.775940,350.254974,34.197685,258.623962,509.709717,33.764633
17,393.937195,-11.932552,16.580215,-10.036940,-13.675694,16.234034,389.149750,566.712952,24.197866,-12.917161,564.361084,20.492067,185.252609,341.122253,34.017395,171.098145,498.085022,32.620487,278.781738,350.244141,34.200119,258.641571,509.710266,33.757164
18,393.972321,-11.944846,16.549358,-10.033928,-13.665389,16.244787,389.156494,566.696899,24.188107,-12.913078,564.367432,20.508945,185.265717,341.117432,34.019184,170.938400,498.229279,32.466324,278.773132,350.246979,34.170872,258.645477,509.704803,33.764339
19,394.065186,-12.032808,16.489769,-10.036105,-13.672423,16.232784,389.161560,566.697693,24.196152,-12.924271,564.362732,20.510084,185.244904,341.111389,33.994495,170.840164,498.351257,32.399101,278.786499,350.246857,34.172100,258.657837,509.687836,33.777985
20,394.032471,-12.011411,16.527353,-10.015026,-13.658696,16.244413,389.166626,566.707581,24.207769,-12.919281,564.360962,20.437857,185.241364,341.107666,33.978184,171.071274,498.117584,32.576321,278.788422,350.253998,34.183147,258.666931,509.669098,33.815716
21,393.929779,-12.030683,16.489334,-10.003499,-13.653276,16.239517,389.164429,566.720398,24.226835,-12.927039,564.345459,20.311516,185.232452,341.117371,33.949516,171.501694,497.760040,32.970634,278.774292,350.255280,34.189606,258.642883,509.683502,33.839256
22,394.018219,-12.027479,16.528826,-10.026958,-13.659740,16.229244,389.152435,566.737488,24.264959,-12.927961,564.353149,20.097813,185.191208,341.111115,33.927578,171.541763,497.718414,32.966103,278.753479,350.265442,34.207191,258.617218,509.707458,33.848198
23,394.031311,-12.023915,16.562218,-10.029098,-13.653543,16.231892,389.127136,566.718689,24.327991,-12.883954,564.365723,19.935658,185.182877,341.124084,33.921097,171.526031,497.744934,32.922371,278.754211,350.281342,34.243481,258.592590,509.729309,33.841076
24,393.938934,-11.916895,16.642328,-10.043392,-13.664730,16.220985,389.095215,566.712646,24.345272,-12.857243,564.383423,19.888882,185.183716,341.127655,33.912983,171.480225,497.773468,32.886280,278.733734,350.313354,34.258610,258.571991,509.725555,33.820759
25,393.908447,-11.903723,16.663120,-10.052215,-13.662323,16.221022,389.085388,566.703003,24.347057,-12.842134,564.375183,19.843569,185.163223,341.129578,33.905739,171.480042,497.769043,32.888294,278.699829,350.306976,34.248672,258.565186,509.726044,33.805782
26,393.906219,-11.893736,16.679482,-10.075551,-13.656130,16.209827,389.088654,566.715881,24.341320,-12.833248,564.379150,19.819685,185.157928,341.124725,33.901638,171.467331,497.773651,32.861286,278.690277,350.302765,34.238010,258.558746,509.721161,33.794598
27,393.887085,-11.892832,16.664051,-10.071581,-13.643355,16.205318,389.074738,566.712280,24.351816,-13.139904,563.953918,19.939583,185.159958,341.130127,33.906399,171.472214,497.766815,32.880371,278.672272,350.320526,34.244064,258.545013,509.727173,33.798771
28,393.893951,-11.903470,16.668184,-10.070537,-13.649515,16.211094,389.077301,566.732849,24.345022,-13.179222,563.871704,19.907305,185.159180,341.127777,33.897480,171.477264,497.769775,32.866211,278.665985,350.313843,34.243843,258.540588,509.726288,33.819988
29,393.891754,-11.883440,16.672230,-10.068280,-13.647636,16.201143,389.101563,566.744263,24.271467,-13.061134,563.896912,19.730371,185.162552,341.127136,33.891640,171.485855,497.771057,32.871220,278.692413,350.308167,34.249935,258.550415,509.730377,33.821682
30,393.907257,-11.886793,16.673607,-10.058507,-13.646903,16.209665,389.122620,566.743286,24.239656,-13.094110,563.926086,19.849312,185.161865,341.119568,33.911293,171.476852,497.780701,32.856972,278.722534,350.296906,34.243793,258.568115,509.729156,33.806141
31,393.905670,-11.914315,16.678648,-10.040551,-13.646574,16.213749,389.137604,566.728394,24.240742,-12.996301,563.969238,19.718962,185.186310,341.130005,33.910954,171.281998,497.524170,33.450405,278.733643,350.301331,34.241249,258.596344,509.724030,33.758335
32,393.911407,-11.919213,16.654869,-10.040507,-13.648215,16.215635,389.144104,566.718384,24.237522,-13.135050,563.886169,19.888639,185.188431,341.124176,33.905998,171.712067,497.163849,33.623680,278.746521,350.293121,34.243309,258.609070,509.716705,33.713463
33,393.943817,-11.921425,16.646505,-10.023398,-13.642740,16.210836,389.150055,566.725952,24.234554,-13.156390,563.895752,19.924133,185.210007,341.122711,33.915108,172.306305,496.699219,33.777317,278.760895,350.270660,34.224907,258.622986,509.709076,33.700783
34,393.944183,-11.909739,16.644747,-10.012421,-13.647663,16.224737,389.154785,566.723877,24.232817,-13.132655,563.892212,19.877813,185.210083,341.118835,33.905659,172.336166,496.673462,33.794201,278.761414,350.266479,34.224476,258.625854,509.705322,33.728104
35,393.956696,-11.921452,16.645555,-10.015737,-13.665949,16.221653,389.160400,566.728577,24.237923,-12.984879,563.924194,19.662994,185.202087,341.100983,33.902779,172.313904,496.680176,33.798496,278.766907,350.261749,34.222404,258.607727,509.704498,33.769836
36,393.950531,-11.933458,16.646294,-10.013197,-13.663970,16.218658,389.166046,566.715210,24.236328,-12.912030,563.937622,19.566492,185.207520,341.111389,33.906799,172.315414,496.669800,33.811066,278.759918,350.265991,34.226345,258.606781,509.705872,33.800415
37,393.939728,-11.939185,16.658230,-10.035965,-13.670952,16.219069,389.165985,566.703735,24.258018,-12.637380,564.336792,19.457771,185.186478,341.100891,33.898670,172.303207,496.670685,33.805386,278.743958,350.263763,34.234921,258.600342,509.703461,33.804665
38,393.932922,-11.941640,16.660458,-10.043524,-13.675866,16.211121,389.156921,566.694214,24.285131,-12.585389,564.386719,19.415409,185.199539,341.087738,33.892292,172.311279,496.677734,33.787132,278.742920,350.265656,34.247417,258.599213,509.700592,33.792389
39,393.893311,-11.967328,16.716192,-10.039114,-13.670841,16.207962,389.141235,566.693787,24.282736,-12.610996,564.351746,19.386229,185.189270,341.098785,33.881111,172.304764,496.682739,33.752499,278.730835,350.276581,34.262356,258.589722,509.700043,33.759766
40,393.889496,-11.926170,16.723352,-10.037025,-13.674819,16.203650,389.142731,566.701233,24.284794,-12.707087,564.352112,19.251686,185.175598,341.099792,33.867474,171.735626,497.129822,33.555908,278.730377,350.289612,34.263542,258.592285,509.699036,33.711849
41,393.890686,-11.947427,16.748575,-10.046378,-13.663072,16.211285,389.148560,566.704346,24.290096,-12.680820,564.385498,19.177214,185.175995,341.106628,33.862991,171.698547,497.175476,33.558262,278.728973,350.279236,34.257614,258.624420,509.688995,33.682251
42,393.885468,-11.919158,16.746151,-10.044916,-13.648746,16.214489,389.159027,566.708008,24.305662,-12.648199,564.341003,19.087679,185.184814,341.102631,33.858517,171.733246,497.149628,33.593975,278.727966,350.275635,34.245659,258.652222,509.685791,33.729160
43,393.905731,-11.922436,16.760805,-10.030204,-13.639840,16.207224,389.173706,566.709534,24.314053,-12.530649,564.329346,19.146236,185.187805,341.098389,33.855862,172.294891,496.713593,33.763348,278.728485,350.262817,34.255268,258.648193,509.684509,33.814621
44,393.922211,-11.966649,16.790216,-10.035358,-13.653124,16.194769,389.185577,566.687500,24.329187,-12.501184,564.307007,19.127760,185.193024,341.092468,33.835812,172.340103,496.669647,33.761509,278.757385,350.259369,34.269577,258.625244,509.682098,33.911358
45,393.914886,-11.961784,16.797533,-10.020381,-13.674238,16.197906,389.171692,566.672058,24.348076,-12.499825,564.293640,19.103245,185.190201,341.076569,33.813007,172.307663,496.685455,33.684807,278.747986,350.249603,34.262356,258.605743,509.676544,33.900238
46,393.920197,-12.019007,16.830290,-10.029832,-13.700603,16.195610,389.150116,566.648621,24.368311,-12.404049,563.948792,19.072001,185.181915,341.069641,33.816566,172.285965,496.681824,33.610706,278.743439,350.245392,34.270748,258.601227,509.669189,33.814751
47,393.901794,-12.043417,16.848246,-10.027447,-13.741895,16.177591,389.123016,566.633789,24.363480,-12.422302,563.899902,19.049459,185.163315,341.059662,33.799534,172.249863,496.686005,33.531994,278.730194,350.239441,34.270401,258.578644,509.640289,33.746178
48,393.903046,-12.055258,16.855463,-10.038406,-13.750837,16.168459,389.102509,566.620178,24.360641,-12.453844,563.902405,19.030306,185.161011,341.058014,33.805584,172.227386,496.679596,33.502693,278.716827,350.225159,34.281746,258.570679,509.630676,33.732117
49,393.907440,-12.066669,16.891388,-10.053309,-13.761534,16.164526,389.086548,566.613525,24.377853,-12.492843,563.904175,19.007751,185.162506,341.055786,33.800526,172.215424,496.677856,33.492226,278.701996,350.229736,34.292007,258.548157,509.623383,33.713955
50,393.883881,-12.089052,16.923891,-10.058262,-13.742919,16.166119,389.081512,566.616760,24.377737,-12.583738,563.794495,19.289820,185.151672,341.045898,33.794178,172.238464,496.673981,33.557686,278.671417,350.228455,34.305798,258.551361,509.622437,33.774723
