Timestamp, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagnetometerX, MagnetometerY, MagnetometerZ, DMUserAccelerationX, DMUserAccelerationY, DMUserAccelerationZ, DMGravityX, DMGravityY, DMGravityZ, DMMagX, DMMagY, DMMagZ, DMAttitudeX, DMAttitudeY, DMAttitudeZ, DMAttitudeW 
424169100.072321, -0.09886169, -0.71466064, -0.62165833, 0.06681658, -0.02993739, -0.06381600, -169.90646362, 164.43112183, 228.15689087, -0.11469255, -0.72184503, -0.68248469, 0.02646623, 0.00112667, 0.04823786, 0.00000000, 0.00000000, 0.00000000, 0.20791789, -0.33989382, -0.69761687, 0.59546037
424169100.087723, -0.13197327, -0.74362183, -0.66839600, 0.05831337, 0.02973712, -0.04777818, -169.56427002, 164.08891296, 226.49272156, -0.11449780, -0.72242671, -0.68190163, 0.01563611, 0.00776610, 0.06024332, 0.00000000, 0.00000000, 0.00000000, 0.20810541, -0.34020775, -0.69773252, 0.59507995
424169100.103469, -0.13560486, -0.74830627, -0.69787598, 0.05297480, 0.06602616, -0.03558915, -170.41978455, 165.97105408, 226.32630920, -0.11438291, -0.72344702, -0.68083841, -0.01759036, -0.02017479, 0.01244241, 0.00000000, 0.00000000, 0.00000000, 0.20850007, -0.34074700, -0.69765150, 0.59472816
424169100.119570, -0.11369324, -0.72584534, -0.68757629, 0.00924969, 0.05579136, -0.03039705, -172.64413452, 164.43112183, 228.15689087, -0.11350378, -0.72394508, -0.68045604, -0.02210107, -0.02436121, -0.01741993, 0.00000000, 0.00000000, 0.00000000, 0.20911352, -0.34065160, -0.69748736, 0.59475996
424169100.135895, -0.09593201, -0.71232605, -0.67460632, -0.03530020, 0.05814639, -0.06690313, -171.61750793, 164.08891296, 228.15689087, -0.11274957, -0.72414601, -0.68036765, -0.00417853, -0.01654614, -0.00582012, 0.00000000, 0.00000000, 0.00000000, 0.20954230, -0.34045295, -0.69740069, 0.59482442
424169100.151097, -0.09593201, -0.71232605, -0.67460632, -0.07092584, 0.10966738, -0.07223398, -170.93309021, 164.08891296, 226.49272156, -0.11180587, -0.72379500, -0.68089664, 0.01035018, 0.00745587, 0.00204840, 0.00000000, 0.00000000, 0.00000000, 0.20975873, -0.33993079, -0.69754190, 0.59488120
424169100.167334, -0.11712646, -0.71646118, -0.68972778, -0.06196696, 0.08280514, -0.06676971, -172.47303772, 162.20677185, 228.32330322, -0.11015284, -0.72302496, -0.68198335, 0.01422084, 0.01069889, 0.00737703, 0.00000000, 0.00000000, 0.00000000, 0.21005085, -0.33894980, -0.69786114, 0.59496345
424169100.182883, -0.11045837, -0.71618652, -0.66705322, -0.02654133, 0.02323422, -0.04178899, -170.76199341, 163.23339844, 227.99046326, -0.10877729, -0.72208440, -0.68319952, -0.00834918, 0.00562324, -0.00652826, 0.00000000, 0.00000000, 0.00000000, 0.21020670, -0.33795470, -0.69812430, 0.59516571
424169100.198586, -0.10023499, -0.72351074, -0.66766357, -0.00424827, 0.02202461, -0.02877386, -169.73536682, 164.26002502, 228.65612793, -0.10802945, -0.72163385, -0.68379396, -0.00242892, 0.00544733, 0.01674076, 0.00000000, 0.00000000, 0.00000000, 0.21027081, -0.33747473, -0.69833507, 0.59516815
424169100.215427, -0.08790588, -0.72958374, -0.68800354, 0.02275511, 0.02078251, -0.01687405, -170.07757568, 164.26002502, 227.99046326, -0.10767821, -0.72141987, -0.68407512, -0.00020142, 0.00051836, 0.01747969, 0.00000000, 0.00000000, 0.00000000, 0.21030491, -0.33724512, -0.69842579, 0.59517979
424169100.230333, -0.08790588, -0.72958374, -0.68800354, 0.03905020, 0.00660091, -0.03090732, -170.07757568, 164.26002502, 227.99046326, -0.10724005, -0.72168446, -0.68386483, 0.01295600, -0.00654123, 0.00065253, 0.00000000, 0.00000000, 0.00000000, 0.21060939, -0.33721103, -0.69835378, 0.59517594
