Trial05
Date:,2014/06/11
Time:,10:52:45
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.111176,-12.332582,12.938374,-10.858921,-13.020345,16.323526,389.559418,566.026123,24.575285,-12.275147,564.656372,19.201948,159.715942,456.663208,33.891563,151.173752,613.773560,33.836761,253.239578,463.337006,34.601315,238.164276,622.742554,34.691284
2,393.105377,-12.335052,12.937442,-10.848236,-13.005284,16.317657,389.561188,566.026917,24.568958,-12.366763,564.647583,19.141848,159.701538,456.653320,33.899357,151.174057,613.778015,33.835579,253.216629,463.327820,34.591713,238.160263,622.740784,34.690144
3,393.105194,-12.314447,12.944639,-10.855635,-13.014514,16.311617,389.561951,566.024963,24.570103,-12.287434,564.658081,19.191696,159.705368,456.653442,33.901405,151.175323,613.776306,33.839977,253.197968,463.336456,34.589554,238.158157,622.739258,34.690647
4,393.098053,-12.334567,12.951007,-10.858482,-13.005746,16.323372,389.563110,566.025208,24.569263,-12.277416,564.660889,19.199766,159.703278,456.649170,33.904785,151.169968,613.770691,33.835693,253.193878,463.336182,34.586109,238.166641,622.738342,34.695999
5,393.110657,-12.332096,12.940392,-10.858084,-13.011589,16.317562,389.563477,566.033875,24.571405,-12.276364,564.675537,19.196285,159.698669,456.644653,33.905670,151.170761,613.781311,33.831291,253.181961,463.309113,34.582829,238.158081,622.738281,34.689415
6,393.114807,-12.329498,12.944244,-10.861790,-13.007409,16.317755,389.567688,566.033630,24.572775,-12.366311,564.648438,19.145872,159.702896,456.655090,33.903076,151.176514,613.770264,33.838135,253.155807,463.325104,34.574776,238.163712,622.736511,34.690189
7,393.105865,-12.328065,12.936541,-10.865782,-13.010258,16.320171,389.564178,566.032043,24.568388,-12.293088,564.664246,19.194971,159.700775,456.656799,33.899445,151.172363,613.778137,33.833965,253.134720,463.325958,34.570927,238.160400,622.742371,34.694798
8,393.104218,-12.334832,12.943139,-10.854381,-13.015265,16.324451,389.556946,566.031128,24.570181,-12.359070,564.658264,19.147400,159.696213,456.651184,33.895824,151.172180,613.775635,33.845795,253.123093,463.317200,34.573082,238.156342,622.741455,34.690372
9,393.104309,-12.330179,12.934387,-10.865299,-13.011545,16.324978,389.553986,566.023682,24.571102,-12.295775,564.657654,19.199945,159.662277,456.659454,33.887386,151.181564,613.766724,33.840916,253.117523,463.310883,34.568996,238.157944,622.736084,34.687466
10,393.098541,-12.330069,12.932323,-10.869335,-13.014984,16.319950,389.557312,566.029968,24.574171,-12.277883,564.657959,19.202290,159.655090,456.661224,33.875225,151.215378,613.747864,33.842480,253.115738,463.308563,34.575897,238.160217,622.741943,34.690147
