Trial07
Date:,2014/06/11
Time:,10:59:01
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.072632,-12.319068,12.876784,-10.694693,-12.918383,16.176849,389.696228,566.045227,24.651903,-12.364854,564.503601,19.251646,137.263565,483.671204,33.808506,142.119949,640.941772,33.941719,230.813766,481.991913,34.714798,230.031342,642.309937,34.562805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,393.068024,-12.316367,12.862295,-10.697767,-12.918018,16.177832,389.701416,566.039490,24.656448,-12.370326,564.487732,19.256437,137.266937,483.660278,33.814903,142.129791,640.939087,33.936665,230.862305,481.974579,34.650734,230.023102,642.311523,34.564018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,393.071747,-12.319716,12.867022,-10.691197,-12.915275,16.176903,389.695831,566.043091,24.658478,-12.370518,564.492493,19.253391,137.258667,483.660889,33.811256,142.124039,640.937317,33.939571,230.831467,481.965576,34.718616,230.024231,642.310974,34.562763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,393.082916,-12.314427,12.882638,-10.695878,-12.917441,16.176640,389.704163,566.045593,24.657570,-12.370886,564.495300,19.253666,137.263321,483.671936,33.807095,142.128723,640.939453,33.942139,230.875641,481.974976,34.653538,230.017914,642.312805,34.557476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,393.076813,-12.308468,12.874800,-10.691411,-12.913925,16.176750,389.703339,566.043030,24.655094,-12.361126,564.506287,19.255989,137.256882,483.663635,33.803902,142.119904,640.943176,33.936745,230.873169,481.982513,34.649715,230.026016,642.314819,34.562584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,393.077698,-12.312799,12.877610,-10.684279,-12.902173,16.170788,389.705231,566.061035,24.654139,-12.354713,564.501465,19.255184,137.261414,483.673187,33.802521,142.126709,640.937134,33.939682,230.833633,481.977966,34.718597,230.030258,642.311401,34.558849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,393.087769,-12.294006,12.892055,-10.692578,-12.907731,16.174517,389.716919,566.063049,24.652637,-12.355514,564.516724,19.260906,137.263321,483.681488,33.811756,142.128113,640.939270,33.937077,230.802826,482.060822,34.627583,230.032852,642.314575,34.561165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,393.072510,-12.304440,12.879148,-10.688234,-12.898265,16.179718,389.713959,566.058838,24.658875,-12.354534,564.506409,19.261223,137.254028,483.670380,33.804901,142.124695,640.942505,33.941578,230.891953,481.992188,34.657364,230.028809,642.311340,34.566360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,393.076355,-12.304047,12.882244,-10.693238,-12.915159,16.178787,389.698883,566.036072,24.653212,-12.367231,564.508911,19.257174,137.264297,483.667084,33.812874,142.124710,640.940247,33.937084,230.874466,481.968201,34.661957,230.017395,642.317078,34.565010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,393.075256,-12.314761,12.879364,-10.691133,-12.903346,16.180521,389.699768,566.041931,24.659822,-12.369948,564.491821,19.251484,137.256577,483.672150,33.814571,142.128250,640.941162,33.941994,230.820480,481.971924,34.709038,230.011887,642.319031,34.567307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
