Trial09
Date:,2014/06/11
Time:,11:03:21
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.145081,-11.978901,14.497387,-10.599673,-13.095709,15.679508,389.823547,566.482178,24.304371,-12.443005,564.518188,19.222227,,,,125.212189,651.744385,32.639935,232.695724,504.721497,34.685101,212.215302,663.678711,33.671104,,,,,,,,,,,,,,,
2,393.128845,-11.995504,14.593781,-10.604571,-13.080301,15.679195,389.826385,566.486755,24.308834,-12.438556,564.506165,19.220871,,,,125.217896,651.748779,32.631710,232.702682,504.749542,34.678501,212.213715,663.680420,33.670719,,,,,,,,,,,,,,,
3,393.181793,-12.006480,14.505051,-10.595385,-13.094252,15.679859,389.825684,566.479858,24.306128,-12.433013,564.516296,19.223364,,,,125.223686,651.744324,32.634411,232.696777,504.747498,34.676464,212.209244,663.685974,33.672935,,,,,,,,,,,,,,,
4,393.089569,-12.081327,14.529359,-10.594532,-13.085766,15.686522,389.841400,566.491577,24.310619,-12.439613,564.518005,19.228483,,,,125.211525,651.746826,32.634796,232.703705,504.743469,34.681137,212.211029,663.688721,33.677387,,,,,,,,,,,,,,,
5,393.106934,-12.057668,14.456903,-10.599833,-13.086805,15.681713,389.837219,566.487671,24.304768,-12.438128,564.519775,19.232254,,,,125.214958,651.744751,32.631039,232.706390,504.742035,34.670170,212.211670,663.680908,33.675606,,,,,,,,,,,,,,,
6,393.162506,-11.997419,14.489269,-10.599783,-13.092818,15.688317,389.822052,566.484375,24.300316,-12.443719,564.523438,19.233335,,,,125.213554,651.745117,32.626980,232.691727,504.735168,34.678509,212.210907,663.683411,33.675236,,,,,,,,,,,,,,,
7,393.117676,-12.063070,14.460790,-10.601634,-13.097626,15.683973,389.826141,566.472961,24.308029,-12.446017,564.512573,19.228453,,,,125.211578,651.754150,32.623302,232.697418,504.730133,34.676598,212.207291,663.678528,33.672829,,,,,,,,,,,,,,,
8,393.184021,-12.004420,14.486135,-10.606070,-13.091850,15.679576,389.826813,566.470276,24.306244,-12.435768,564.511963,19.224382,,,,125.213036,651.741333,32.626183,232.693619,504.730988,34.683006,212.204483,663.673340,33.672306,,,,,,,,,,,,,,,
9,393.094421,-12.077682,14.540380,-10.610559,-13.104609,15.681320,389.823792,566.456116,24.305317,-12.445587,564.519470,19.230387,,,,125.214569,651.737488,32.628723,232.694000,504.734497,34.688816,212.206894,663.673401,33.672314,,,,,,,,,,,,,,,
10,393.082642,-12.072242,14.524838,-10.604124,-13.096210,15.678230,389.823181,566.450684,24.306831,-12.445857,564.509766,19.230633,,,,125.214745,651.752380,32.621822,232.693436,504.731842,34.674679,212.209427,663.681519,33.677959,,,,,,,,,,,,,,,
11,393.160767,-11.982172,14.493426,-10.606879,-13.096223,15.687310,389.823944,566.453430,24.304951,-12.441817,564.521606,19.225657,,,,125.223846,651.752625,32.625004,232.685898,504.740540,34.684586,212.218735,663.679932,33.677471,,,,,,,,,,,,,,,
12,393.111877,-12.075000,14.527242,-10.599099,-13.089195,15.686753,389.832245,566.485840,24.299566,-12.437071,564.523987,19.231956,,,,125.213326,651.760925,32.623688,232.692963,504.748260,34.680794,212.214020,663.678711,33.674976,,,,,,,,,,,,,,,
13,393.154236,-11.997523,14.513612,-10.589373,-13.083528,15.679120,389.829681,566.482361,24.307083,-12.441110,564.517334,19.230930,,,,125.218147,651.756470,32.620808,232.685867,504.741028,34.688255,212.203873,663.675232,33.678432,,,,,,,,,,,,,,,
14,393.213867,-11.992050,14.445379,-10.601855,-13.086791,15.686536,389.834564,566.476929,24.301426,-12.444743,564.522583,19.234888,,,,125.207260,651.755310,32.619808,232.697861,504.733490,34.676666,212.187134,663.652710,33.689499,,,,,,,,,,,,,,,
15,393.147095,-11.992381,14.504432,-10.597161,-13.087449,15.683504,389.829285,566.476013,24.304316,-12.439868,564.519226,19.231016,,,,125.211067,651.746643,32.624256,232.686844,504.736237,34.679317,212.142212,663.613586,33.720337,,,,,,,,,,,,,,,
16,393.105072,-12.061413,14.463319,-10.609516,-13.097053,15.684977,389.831970,566.467163,24.307646,-12.440787,564.512451,19.226881,,,,125.209045,651.749634,32.620045,232.704498,504.736511,34.688446,212.112640,663.587219,33.729916,,,,,,,,,,,,,,,
17,393.178955,-11.983084,14.435072,-10.603447,-13.094883,15.686024,389.828369,566.473206,24.310757,-12.446149,564.510437,19.227177,,,,125.214447,651.746277,32.627277,232.699081,504.740112,34.687153,212.067490,663.601135,33.704617,,,,,,,,,,,,,,,
18,393.116211,-12.058690,14.463413,-10.606301,-13.091165,15.681146,389.834869,566.476624,24.317286,-12.437639,564.509827,19.221748,,,,125.219376,651.744385,32.624538,232.700256,504.745880,34.687729,212.043091,663.636719,33.655193,,,,,,,,,,,,,,,
19,393.147278,-11.985947,14.495756,-10.603026,-13.089299,15.681570,389.833038,566.488953,24.303425,-12.443504,564.513062,19.224552,,,,125.213463,651.753235,32.618633,232.702148,504.745300,34.680389,212.034576,663.650696,33.626022,,,,,,,,,,,,,,,
